mtchavezRandomInserts,1545,1845,2208,2486,2659,2749,2741,2923,2989,3077,3067,3104,3141,3281,3246,3361,3280,3383,3473,3441,3415,3608,3594,3690,3688,3714,3612,3682,3777,3795,
mtchavezAvgSearch,262,274,281,277,274,310,290,284,280,280,280,290,282,293,279,288,295,296,309,283,295,289,301,323,304,304,303,299,293,304,
mtchavezSearchEnd,277,173,193,271,161,209,236,236,203,251,218,225,300,210,206,250,266,247,276,205,202,212,260,244,229,249,207,173,210,206,
mtchavezDelete,419,911,1049,821,956,852,816,691,730,989,980,908,891,751,707,799,804,993,706,819,773,748,1061,1056,807,775,833,679,757,718,
mtchavezWorstDelete,1143,887,980,923,1025,833,1047,1112,982,848,1017,867,1185,972,894,1041,980,843,877,902,905,841,849,1151,902,764,857,968,971,1117,
mtchavezRandomDelete,1130,1380,1657,1739,1853,1917,2001,2049,2094,2174,2215,2254,2292,2319,2364,2383,2414,2462,2480,2512,2545,2551,2660,2685,2652,2662,2687,2703,2723,2749,
huanduInserts,517,513,609,587,609,575,626,553,588,602,635,612,564,608,568,613,574,560,586,588,599,584,599,576,634,554,594,630,572,559,
huanduWorstInserts,679,655,670,727,758,798,757,763,781,718,771,766,775,800,756,801,731,788,743,827,779,742,776,808,829,816,771,793,823,751,
huanduRandomInserts,1369,1765,1996,2369,2603,2561,2736,2839,2998,2997,3027,3197,3152,3334,3273,3320,3488,3469,3451,3535,3647,3610,3631,3643,3717,3647,3855,3804,3900,3805,
huanduAvgSearch,363,376,381,392,388,386,405,401,425,419,409,412,409,395,405,404,445,417,406,398,398,428,416,428,427,419,402,410,422,425,
huanduSearchEnd,186,274,265,208,236,252,338,258,235,433,304,450,325,243,372,202,482,238,403,239,381,388,280,506,246,339,311,341,360,358,
huanduDelete,260,262,263,262,261,295,266,263,266,263,267,263,267,272,267,261,266,262,266,358,264,264,267,262,266,312,266,263,264,264,
huanduWorstDelete,414,407,416,434,416,435,421,440,449,452,440,453,450,461,437,437,465,440,458,477,452,445,461,516,447,445,475,449,451,446,
huanduRandomDelete,976,1261,1447,1557,1653,1758,1816,1883,1934,2011,2064,2142,2321,2302,2375,2267,2286,2330,2367,2378,2636,2690,2543,2558,2600,2809,2603,2629,2636,2671,
colInserts,905,930,922,942,936,936,1031,1026,1062,1052,1003,1035,1054,1012,1134,1107,1049,1041,1122,1029,1137,1091,1033,1168,1033,1117,1022,1142,1062,1170,
colWorstInserts,1040,1027,1024,1112,1039,1224,1256,1230,1113,1267,1308,1157,1226,1302,1236,1249,1206,1260,1150,1176,1230,1199,1190,1195,1248,1216,1197,1271,1285,1164,
colRandomInserts,2107,2612,2943,3237,3275,3479,3513,3722,3762,3793,3865,4039,4180,4077,4463,4220,4312,4267,4383,4394,4464,4557,4509,4589,4587,4635,4677,4667,4764,4647,
colAvgSearch,651,690,714,754,736,766,783,748,801,759,828,763,757,827,756,861,799,795,807,794,862,838,889,799,850,808,799,842,828,820,
colSearchEnd,397,414,476,522,458,322,561,400,424,462,499,582,625,523,466,379,392,429,372,511,559,541,573,502,586,513,683,537,409,684,
colDelete,523,548,559,572,572,588,597,604,560,655,624,644,647,644,638,570,635,600,614,682,627,602,635,622,634,668,668,600,673,669,
colWorstDelete,791,664,709,686,739,776,766,740,715,754,735,765,765,822,780,752,765,871,790,874,852,770,760,769,770,812,836,816,799,829,
colRandomDelete,1590,1944,2243,2305,2426,2525,2607,2789,2945,2934,3025,3045,3048,3064,3263,3221,3241,3229,3334,3303,3331,3380,3456,3632,3510,3460,3492,3486,3581,3605,
ryszardInserts,863,961,973,1071,1108,1053,943,1012,1048,1135,1030,1131,1028,1008,1144,1078,960,1116,1060,1081,1049,1037,1019,1101,1047,1024,1083,1006,1067,924,
ryszardWorstInserts,1002,1553,1356,1294,1322,1295,1314,1309,1329,1275,1415,1326,1305,1376,1329,1315,1351,1229,1331,1373,1272,1341,1463,1346,1242,1406,1398,1411,1341,1260,
ryszardRandomInserts,3661,3223,3534,3935,4088,4210,4529,4612,4683,4604,5013,4826,4981,5104,5005,5416,5116,5601,5442,5621,5563,5888,5684,5796,5876,6018,5725,6306,6203,6337,
ryszardAvgSearch,491,514,531,578,547,560,584,624,563,593,562,606,583,560,639,601,586,598,614,626,597,588,670,660,615,596,589,604,620,681,
ryszardSearchEnd,418,297,336,329,261,632,548,410,414,551,534,705,331,416,494,308,254,502,436,323,331,322,392,560,563,305,252,580,538,403,
ryszardDelete,1117,537,497,504,477,436,436,523,457,575,457,505,582,459,539,547,546,530,496,474,445,573,442,478,536,438,525,440,522,471,
ryszardWorstDelete,741,783,762,777,706,803,835,908,796,743,860,753,887,858,826,921,847,885,877,756,789,872,854,860,835,776,931,832,794,882,
ryszardRandomDelete,1819,2222,2597,2617,2798,2936,3144,3289,3352,3312,3352,3560,3588,3628,3677,3688,3931,3963,3807,3913,4189,4179,4043,4352,4333,4333,4609,4761,4840,4822,
mtInserts,328,326,325,328,367,315,387,350,286,326,307,340,435,309,384,303,314,339,356,283,357,278,395,320,340,309,341,300,314,369,
mtWorstInserts,252,277,256,256,251,419,343,284,523,320,410,309,427,343,335,351,303,366,368,304,334,373,315,316,343,295,335,401,357,429,
mtRandomInserts,973,1172,1343,1425,1585,1711,1664,1794,1739,1817,1861,1955,1951,1975,1876,2023,1906,1911,2066,1982,2093,2067,2139,2125,2107,2145,2235,2235,2229,2194,
mtAvgSearch,287,288,304,303,293,304,301,319,296,323,314,317,314,320,312,318,326,355,319,321,334,314,327,339,326,318,366,321,310,322,
mtSearchEnd,315,327,307,349,432,374,524,322,344,335,347,371,426,346,567,450,387,409,400,459,354,390,400,297,357,327,452,385,510,328,
mtDelete,128,132,133,136,135,136,138,141,139,139,141,140,139,144,178,142,140,144,145,146,221,143,143,146,145,146,144,194,146,144,
mtWorstDelete,318,319,319,321,337,327,328,341,326,330,332,327,345,482,345,376,334,391,345,351,342,347,347,345,357,355,357,344,361,356,
mtRandomDelete,807,994,1088,1171,1120,1303,1362,1395,1455,1481,1519,1543,1580,1583,1635,1663,1692,1759,1742,1758,1755,1755,1787,1796,1772,1797,1801,1824,1838,1857,
